     R         lat       lng     Depth    SMdepth
   11.75471  -28.5585   14.8406  192.8952    0.0000
   11.85518  -28.5589   14.8396  193.0574    0.0000
   11.95565  -28.5593   14.8387  193.2137    0.0000
   12.05612  -28.5597   14.8378  193.3640    0.0000
   12.15659  -28.5601   14.8369  193.5083    0.0000
   12.25705  -28.5605   14.8359  193.6468    0.0000
   12.35752  -28.5609   14.8350  193.7792    0.0000
   12.45799  -28.5613   14.8341  193.9057    0.0000
   12.55846  -28.5617   14.8331  194.0262    0.0000
   12.65892  -28.5621   14.8322  194.1409    0.0000
   12.75939  -28.5625   14.8313  194.2496    0.0000
   12.85986  -28.5628   14.8304  194.3582    0.0000
   12.96033  -28.5632   14.8294  194.4694    0.0000
   13.06079  -28.5636   14.8285  194.5805    0.0000
   13.16126  -28.5640   14.8276  194.6917    0.0000
   13.26173  -28.5644   14.8266  194.8029    0.0000
   13.36220  -28.5648   14.8257  194.9140    0.0000
   13.46267  -28.5652   14.8248  195.0044    0.0000
   13.56313  -28.5656   14.8239  195.0276    0.0000
   13.66360  -28.5660   14.8229  195.0567    0.0000
   13.76407  -28.5664   14.8220  195.0917    0.0000
   13.86454  -28.5667   14.8211  195.1326    0.0000
   13.96500  -28.5671   14.8201  195.1794    0.0000
   14.06547  -28.5675   14.8192  195.2321    0.0000
   14.16594  -28.5679   14.8183  195.2907    0.0000
   14.26641  -28.5683   14.8174  195.3553    0.0000
   14.36687  -28.5687   14.8164  195.4258    0.0000
   14.46734  -28.5691   14.8155  195.5022    0.0000
   14.56781  -28.5695   14.8146  195.5843    0.0000
   14.66828  -28.5699   14.8137  195.6725    0.0000
   14.76874  -28.5703   14.8127  195.7666    0.0000
   14.86921  -28.5707   14.8118  195.8666    0.0000
   14.96968  -28.5710   14.8109  195.9726    0.0000
   15.07015  -28.5714   14.8099  196.0845    0.0000
   15.17062  -28.5718   14.8090  196.2020    0.0000
   15.27108  -28.5722   14.8081  196.3384    0.0000
   15.37155  -28.5726   14.8072  196.5278    0.0000
   15.47202  -28.5730   14.8062  196.7320    0.0000
   15.57249  -28.5734   14.8053  196.9511    0.0000
   15.67295  -28.5738   14.8044  197.1852    0.0000
   15.77342  -28.5742   14.8034  197.4341    0.0000
